,data_year,pub_agency_name,agency_type_name,state_name,division_name,county_name,region_name,population_group_desc,offense_name,offender_race,offender_ethnicity,offender_age,offender_sex,victim_type_name,location_name,weapon_name,prop_desc_name,stolen_value,recovered_value,date_recovered
45854,2020,Thomasville,City,North Carolina,South Atlantic,"DAVIDSON, RANDOLPH",South,"Cities from 25,000 thru 49,999",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Individual,Residence/Home,Unknown,Automobile,1.0,1,2020-06-01
45885,2020,Caldwell,County,North Carolina,South Atlantic,CALDWELL,South,"MSA counties from 25,000 thru 99,999",All Other Larceny,Black or African American,Not Hispanic or Latino,38.0,M,Individual,Residence/Home,Unknown,Tools,832.0,832,2020-08-30
45886,2020,Caldwell,County,North Carolina,South Atlantic,CALDWELL,South,"MSA counties from 25,000 thru 99,999",All Other Larceny,Black or African American,Not Hispanic or Latino,38.0,M,Individual,Residence/Home,Unknown,Camping/ Hunting/ Fishing Equipment/ Supplies,15.0,15,2020-08-30
45887,2020,Caldwell,County,North Carolina,South Atlantic,CALDWELL,South,"MSA counties from 25,000 thru 99,999",Burglary/Breaking & Entering,Black or African American,Not Hispanic or Latino,38.0,M,Individual,Residence/Home,Unknown,Tools,832.0,832,2020-08-30
45888,2020,Caldwell,County,North Carolina,South Atlantic,CALDWELL,South,"MSA counties from 25,000 thru 99,999",Burglary/Breaking & Entering,Black or African American,Not Hispanic or Latino,38.0,M,Individual,Residence/Home,Unknown,Camping/ Hunting/ Fishing Equipment/ Supplies,15.0,15,2020-08-30
45889,2020,Caldwell,County,North Carolina,South Atlantic,CALDWELL,South,"MSA counties from 25,000 thru 99,999",All Other Larceny,White,Not Hispanic or Latino,36.0,M,Individual,Residence/Home,Unknown,Tools,832.0,832,2020-08-30
45890,2020,Caldwell,County,North Carolina,South Atlantic,CALDWELL,South,"MSA counties from 25,000 thru 99,999",All Other Larceny,White,Not Hispanic or Latino,36.0,M,Individual,Residence/Home,Unknown,Camping/ Hunting/ Fishing Equipment/ Supplies,15.0,15,2020-08-30
45891,2020,Caldwell,County,North Carolina,South Atlantic,CALDWELL,South,"MSA counties from 25,000 thru 99,999",Burglary/Breaking & Entering,White,Not Hispanic or Latino,36.0,M,Individual,Residence/Home,Unknown,Tools,832.0,832,2020-08-30
45892,2020,Caldwell,County,North Carolina,South Atlantic,CALDWELL,South,"MSA counties from 25,000 thru 99,999",Burglary/Breaking & Entering,White,Not Hispanic or Latino,36.0,M,Individual,Residence/Home,Unknown,Camping/ Hunting/ Fishing Equipment/ Supplies,15.0,15,2020-08-30
45896,2020,Lexington,City,North Carolina,South Atlantic,DAVIDSON,South,"Cities from 10,000 thru 24,999",All Other Larceny,White,Not Hispanic or Latino,39.0,M,Business,Specialty Store,Unknown,Merchandise,27.0,27,2020-09-15
45907,2020,Dare,County,North Carolina,South Atlantic,DARE,South,"Non-MSA counties from 10,000 thru 24,999",All Other Larceny,Unknown,Unknown,0.0,U,Business,Camp/Campground,Unknown,Recreational/ Sports Equipment,350.0,350,2020-07-31
45909,2020,Summit,County,Ohio,East North Central,SUMMIT,Midwest,"MSA counties from 25,000 thru 99,999",All Other Larceny,Unknown,Unknown,0.0,U,Individual,Other/Unknown,Unknown,Other,1.0,1,2020-11-18
45931,2020,Indian River,County,Florida,South Atlantic,INDIAN RIVER,South,"MSA counties 100,000 or over",All Other Larceny,Unknown,Unknown,0.0,U,Individual,Not Specified,Unknown,Trucks,25000.0,25000,2020-10-29
45934,2020,Indian River,County,Florida,South Atlantic,INDIAN RIVER,South,"MSA counties 100,000 or over",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Individual,Service/Gas Station,Unknown,Trucks,25000.0,25000,2020-10-29
45943,2020,Charlotte-Mecklenburg,City,North Carolina,South Atlantic,MECKLENBURG,South,"Cities from 500,000 thru 999,999",Robbery,Black or African American,Not Hispanic or Latino,26.0,M,Individual,Residence/Home,Handgun,Firearms,400.0,400,2020-09-23
45944,2020,Charlotte-Mecklenburg,City,North Carolina,South Atlantic,MECKLENBURG,South,"Cities from 500,000 thru 999,999",Stolen Property Offenses,Black or African American,Not Hispanic or Latino,26.0,M,Individual,Residence/Home,Handgun,Firearms,400.0,400,2020-09-23
45962,2020,Idalou,City,Texas,West South Central,LUBBOCK,South,"Cities under 2,500",Theft From Motor Vehicle,White,Not Hispanic or Latino,0.0,U,Individual,Residence/Home,Unknown,Purse/ Wallet,1.0,1,2020-07-22
45965,2020,Ste. Genevieve,County,Missouri,West North Central,STE GENEVIEVE,Midwest,"Non-MSA counties from 10,000 thru 24,999",Burglary/Breaking & Entering,White,Not Hispanic or Latino,18.0,M,Society/Public,Residence/Home,Unknown,Drugs/ Narcotics,30.0,30,2020-06-30
45966,2020,Ste. Genevieve,County,Missouri,West North Central,STE GENEVIEVE,Midwest,"Non-MSA counties from 10,000 thru 24,999",Burglary/Breaking & Entering,White,Not Hispanic or Latino,18.0,M,Society/Public,Residence/Home,Unknown,Jewelry/ Precious Metals,1450.0,1450,2020-06-30
45967,2020,Ste. Genevieve,County,Missouri,West North Central,STE GENEVIEVE,Midwest,"Non-MSA counties from 10,000 thru 24,999",Burglary/Breaking & Entering,White,Not Hispanic or Latino,18.0,M,Society/Public,Residence/Home,Unknown,Money,91.0,12,2020-06-30
45968,2020,Ste. Genevieve,County,Missouri,West North Central,STE GENEVIEVE,Midwest,"Non-MSA counties from 10,000 thru 24,999",Burglary/Breaking & Entering,White,Not Hispanic or Latino,18.0,M,Society/Public,Residence/Home,Unknown,Other,2.0,1,2020-06-30
45975,2020,Ste. Genevieve,County,Missouri,West North Central,STE GENEVIEVE,Midwest,"Non-MSA counties from 10,000 thru 24,999",Theft From Building,White,Not Hispanic or Latino,18.0,M,Society/Public,Highway/Road/Alley/Street/Sidewalk,Unknown,Drugs/ Narcotics,30.0,30,2020-06-30
45976,2020,Ste. Genevieve,County,Missouri,West North Central,STE GENEVIEVE,Midwest,"Non-MSA counties from 10,000 thru 24,999",Theft From Building,White,Not Hispanic or Latino,18.0,M,Society/Public,Highway/Road/Alley/Street/Sidewalk,Unknown,Jewelry/ Precious Metals,1450.0,1450,2020-06-30
45977,2020,Ste. Genevieve,County,Missouri,West North Central,STE GENEVIEVE,Midwest,"Non-MSA counties from 10,000 thru 24,999",Theft From Building,White,Not Hispanic or Latino,18.0,M,Society/Public,Highway/Road/Alley/Street/Sidewalk,Unknown,Money,91.0,12,2020-06-30
